1.745182000000000073e+02 1.745250000000000057e+02 1.745500000000000114e+02 1.745000000000000000e+02 1.047500000000000000e+02
1.745300000000000011e+02 1.745293000000000063e+02 1.745500000000000114e+02 1.744574259999999981e+02 1.161599999999999966e+02
1.745300000000000011e+02 1.745507000000000062e+02 1.745800000000000125e+02 1.745250000000000057e+02 1.215199999999999960e+02
1.745550000000000068e+02 1.745600000000000023e+02 1.745800000000000125e+02 1.735163000000000011e+02 1.241400000000000006e+02
1.745600000000000023e+02 1.745850000000000080e+02 1.745900000000000034e+02 1.745600000000000023e+02 1.069500000000000028e+02
1.745850000000000080e+02 1.746299999999999955e+02 1.746299999999999955e+02 1.745600000000000023e+02 1.274300000000000068e+02
1.746299999999999955e+02 1.746299999999999955e+02 1.746800000000000068e+02 1.745753750000000082e+02 1.297400000000000091e+02
1.746299999999999955e+02 1.746100999999999885e+02 1.746500000000000057e+02 1.745277000000000100e+02 1.116299999999999955e+02
1.746139000000000010e+02 1.746299999999999955e+02 1.746399999999999864e+02 1.745699999999999932e+02 9.796999999999999886e+01
1.746299999999999955e+02 1.747500000000000000e+02 1.747500000000000000e+02 1.746200000000000045e+02 1.210499999999999972e+02
1.747500000000000000e+02 1.747702999999999918e+02 1.748100000000000023e+02 1.746959999999999980e+02 1.452400000000000091e+02
1.747700000000000102e+02 1.747949999999999875e+02 1.748400000000000034e+02 1.747120999999999924e+02 1.241500000000000057e+02
1.747999000000000080e+02 1.746956999999999880e+02 1.748499999999999943e+02 1.747199999999999989e+02 1.250600000000000023e+02
1.747635999999999967e+02 1.746649999999999920e+02 1.747700000000000102e+02 1.746399999999999864e+02 2.357700000000000102e+02
1.746599999999999966e+02 1.748899999999999864e+02 1.748899999999999864e+02 1.746599999999999966e+02 1.402100000000000080e+02
1.748899999999999864e+02 1.749199999999999875e+02 1.749300000000000068e+02 1.747720999999999947e+02 1.470699999999999932e+02
1.749199999999999875e+02 1.749706999999999937e+02 1.750300000000000011e+02 1.747862000000000080e+02 1.272900000000000063e+02
1.749749999999999943e+02 1.749600000000000080e+02 1.750000000000000000e+02 1.749099999999999966e+02 1.135900000000000034e+02
1.749600000000000080e+02 1.749000000000000057e+02 1.749799999999999898e+02 1.749000000000000057e+02 1.234500000000000028e+02
1.749001000000000090e+02 1.749799999999999898e+02 1.749799999999999898e+02 1.748401000000000067e+02 1.459699999999999989e+02
